dataset,column,rows,observed_nonmissing_rows,blank_rows,redacted_star_rows,zero_rows,negative_raw_rows,non_numeric_raw_rows,observed_sum,observed_min,observed_max
resettlement,Year,9075,9075,0,0,0,0,0,18165833.0,1959.0,2016.0
resettlement,Value,9075,8918,0,157,0,0,0,4080009.0,1.0,61298.0
asylum_seekers_monthly,Year,332189,332189,0,0,0,0,0,667055265.0,1999.0,2017.0
asylum_seekers_monthly,Value,332189,320348,0,11841,29,0,0,10862303.0,0.0,36860.0
demographics,Year,18356,18356,0,0,0,0,0,36901330.0,2001.0,2016.0
demographics,Female 0-4,18356,16682,1273,401,4215,0,0,14207776.0,0.0,158585.0
demographics,Female 5-11,18356,13530,4429,397,2795,0,0,18703611.0,0.0,248844.0
demographics,Female 5-17,18356,3196,15160,0,696,0,0,4633891.0,0.0,401884.0
demographics,Female 12-17,18356,13557,4407,392,2926,0,0,12848626.0,0.0,181453.0
demographics,Female 18-59,18356,17289,662,405,1979,0,0,47554464.0,0.0,846310.0
demographics,Female 60+,18356,16358,1456,542,4897,0,0,4977493.0,0.0,125753.0
demographics,F: Unknown,18356,12493,5863,0,11388,0,0,33216842.0,0.0,2933164.0
demographics,F: Total,18356,18037,0,319,1624,0,0,136146430.0,0.0,4384119.0
demographics,Male 0-4,18356,16654,1281,421,4179,0,0,14647839.0,0.0,195051.0
demographics,Male 5-11,18356,13573,4406,377,2762,0,0,19332750.0,0.0,316581.0
demographics,Male 5-17,18356,3196,15160,0,687,0,0,4909491.0,0.0,434058.0
demographics,Male 12-17,18356,13587,4370,399,2805,0,0,14041122.0,0.0,223089.0
demographics,Male 18-59,18356,17511,436,409,1309,0,0,49722824.0,0.0,1047938.0
demographics,Male 60+,18356,16409,1370,577,4646,0,0,4746139.0,0.0,117658.0
demographics,M: Unknown,18356,12500,5856,0,11360,0,0,34275290.0,0.0,3065738.0
demographics,M: Total,18356,17985,0,371,643,0,0,141679150.0,0.0,4737465.0
asylum_seekers,Year,129720,129720,0,0,0,0,0,260614420.0,2000.0,2016.0
asylum_seekers,Tota pending start-year,129720,121547,5142,3031,46960,0,0,18336070.0,0.0,397435.0
asylum_seekers,of which UNHCR-assisted(start-year),129720,117641,10758,1321,93098,0,0,3806922.0,0.0,94375.0
asylum_seekers,Applied during year,129720,122863,3498,3359,26486,0,0,18624397.0,0.0,301533.0
asylum_seekers,decisions_recognized,129720,118406,9834,1480,78710,0,0,3682746.0,0.0,164926.0
asylum_seekers,decisions_other,129720,114350,14746,624,97213,0,0,1719918.0,0.0,248201.0
asylum_seekers,Rejected,129720,119318,8105,2297,50141,0,0,7083290.0,0.0,147063.0
asylum_seekers,Otherwise closed,129720,118484,8870,2364,64523,2,0,5302552.0,0.0,301764.0
asylum_seekers,Total decisions,129720,93873,32638,3209,0,0,0,17794972.0,1.0,301770.0
asylum_seekers,Total pending end-year,129720,122917,3888,2914,44352,1,0,19949409.0,0.0,397435.0
asylum_seekers,of which UNHCR-assisted(end-year),129720,120540,7837,1343,94347,0,0,4379790.0,0.0,114571.0
persons_of_concern,Year,117321,117321,0,0,0,0,0,235298519.0,1951.0,2016.0
persons_of_concern,Refugees (incl. refugee-like situations),117321,99442,15825,2054,4399,0,0,529498732.0,0.0,3272290.0
persons_of_concern,Asylum-seekers (pending cases),117321,72604,42692,2025,11740,0,0,20553976.0,0.0,940668.0
persons_of_concern,Returned refugees,117321,26549,90721,51,19959,0,0,31046037.0,0.0,1569248.0
persons_of_concern,Internally displaced persons (IDPs),117321,20823,96498,0,20349,0,0,299001999.0,0.0,7632500.0
persons_of_concern,Returned IDPs,117321,20621,96700,0,20389,0,0,31295717.0,0.0,1397016.0
persons_of_concern,Stateless persons,117321,21000,96317,4,20201,0,0,49884483.0,0.0,3500000.0
persons_of_concern,Others of concern,117321,21010,96237,74,19957,0,0,19635461.0,0.0,957000.0
persons_of_concern,Total Population,117321,114882,0,2439,0,0,0,980919797.0,1.0,7632500.0
time_series,Year,298441,298441,0,0,0,0,0,599852154.0,1951.0,2016.0
time_series,Value,298441,294232,0,4208,129177,1,0,980916405.0,0.0,7632500.0
