year,population_type_std,time_series_sum,persons_of_concern_long_sum,absolute_difference
1951,Asylum-seekers,,0.0,0.0
1951,IDPs,,0.0,0.0
1951,Others of concern,,0.0,0.0
1951,Refugees,1957211.0,1957211.0,0.0
1951,Returned IDPs,,0.0,0.0
1951,Returned refugees,,0.0,0.0
1951,Stateless persons,,0.0,0.0
1952,Asylum-seekers,,0.0,0.0
1952,IDPs,,0.0,0.0
1952,Others of concern,,0.0,0.0
1952,Refugees,1787928.0,1787928.0,0.0
1952,Returned IDPs,,0.0,0.0
1952,Returned refugees,,0.0,0.0
1952,Stateless persons,,0.0,0.0
1953,Asylum-seekers,,0.0,0.0
1953,IDPs,,0.0,0.0
1953,Others of concern,,0.0,0.0
1953,Refugees,1679304.0,1679304.0,0.0
1953,Returned IDPs,,0.0,0.0
1953,Returned refugees,,0.0,0.0
1953,Stateless persons,,0.0,0.0
1954,Asylum-seekers,,0.0,0.0
1954,IDPs,,0.0,0.0
1954,Others of concern,,0.0,0.0
1954,Refugees,1581628.0,1581628.0,0.0
1954,Returned IDPs,,0.0,0.0
1954,Returned refugees,,0.0,0.0
1954,Stateless persons,,0.0,0.0
1955,Asylum-seekers,,0.0,0.0
1955,IDPs,,0.0,0.0
1955,Others of concern,,0.0,0.0
1955,Refugees,1547066.0,1547066.0,0.0
1955,Returned IDPs,,0.0,0.0
1955,Returned refugees,,0.0,0.0
1955,Stateless persons,,0.0,0.0
1956,Asylum-seekers,,0.0,0.0
1956,IDPs,,0.0,0.0
1956,Others of concern,,0.0,0.0
1956,Refugees,1600875.0,1600875.0,0.0
1956,Returned IDPs,,0.0,0.0
1956,Returned refugees,,0.0,0.0
1956,Stateless persons,,0.0,0.0
1957,Asylum-seekers,,0.0,0.0
1957,IDPs,,0.0,0.0
1957,Others of concern,,0.0,0.0
1957,Refugees,1582814.0,1582814.0,0.0
1957,Returned IDPs,,0.0,0.0
1957,Returned refugees,,0.0,0.0
1957,Stateless persons,,0.0,0.0
1958,Asylum-seekers,,0.0,0.0
1958,IDPs,,0.0,0.0
1958,Others of concern,,0.0,0.0
1958,Refugees,1545310.0,1545310.0,0.0
1958,Returned IDPs,,0.0,0.0
1958,Returned refugees,,0.0,0.0
1958,Stateless persons,,0.0,0.0
1959,Asylum-seekers,,0.0,0.0
1959,IDPs,,0.0,0.0
1959,Others of concern,,0.0,0.0
1959,Refugees,1520185.0,1520185.0,0.0
1959,Returned IDPs,,0.0,0.0
1959,Returned refugees,,0.0,0.0
1959,Stateless persons,,0.0,0.0
1960,Asylum-seekers,,0.0,0.0
1960,IDPs,,0.0,0.0
1960,Others of concern,,0.0,0.0
1960,Refugees,1504664.0,1504664.0,0.0
1960,Returned IDPs,,0.0,0.0
1960,Returned refugees,,0.0,0.0
1960,Stateless persons,,0.0,0.0
1961,Asylum-seekers,,0.0,0.0
1961,IDPs,,0.0,0.0
1961,Others of concern,,0.0,0.0
1961,Refugees,1641867.0,1641867.0,0.0
1961,Returned IDPs,,0.0,0.0
1961,Returned refugees,,0.0,0.0
1961,Stateless persons,,0.0,0.0
1962,Asylum-seekers,,0.0,0.0
1962,IDPs,,0.0,0.0
1962,Others of concern,,0.0,0.0
1962,Refugees,1623322.0,1623322.0,0.0
1962,Returned IDPs,,0.0,0.0
1962,Returned refugees,,0.0,0.0
1962,Stateless persons,,0.0,0.0
1963,Asylum-seekers,,0.0,0.0
1963,IDPs,,0.0,0.0
1963,Others of concern,,0.0,0.0
1963,Refugees,1556603.0,1556603.0,0.0
1963,Returned IDPs,,0.0,0.0
1963,Returned refugees,,0.0,0.0
1963,Stateless persons,,0.0,0.0
1964,Asylum-seekers,,0.0,0.0
1964,IDPs,,0.0,0.0
1964,Others of concern,,0.0,0.0
1964,Refugees,2954919.0,2954919.0,0.0
1964,Returned IDPs,,0.0,0.0
1964,Returned refugees,,0.0,0.0
1964,Stateless persons,,0.0,0.0
1965,Asylum-seekers,,0.0,0.0
1965,IDPs,,0.0,0.0
1965,Others of concern,,0.0,0.0
1965,Refugees,3269615.0,3269615.0,0.0
1965,Returned IDPs,,0.0,0.0
1965,Returned refugees,38100.0,38100.0,0.0
1965,Stateless persons,,0.0,0.0
1966,Asylum-seekers,,0.0,0.0
1966,IDPs,,0.0,0.0
1966,Others of concern,,0.0,0.0
1966,Refugees,3363873.0,3363873.0,0.0
1966,Returned IDPs,,0.0,0.0
1966,Returned refugees,29000.0,29000.0,0.0
1966,Stateless persons,,0.0,0.0
1967,Asylum-seekers,,0.0,0.0
1967,IDPs,,0.0,0.0
1967,Others of concern,,0.0,0.0
1967,Refugees,2176941.0,2176941.0,0.0
1967,Returned IDPs,,0.0,0.0
1967,Returned refugees,7580.0,7580.0,0.0
1967,Stateless persons,,0.0,0.0
1968,Asylum-seekers,,0.0,0.0
1968,IDPs,,0.0,0.0
1968,Others of concern,,0.0,0.0
1968,Refugees,2313726.0,2313726.0,0.0
1968,Returned IDPs,,0.0,0.0
1968,Returned refugees,21840.0,21840.0,0.0
1968,Stateless persons,,0.0,0.0
1969,Asylum-seekers,,0.0,0.0
1969,IDPs,,0.0,0.0
1969,Others of concern,,0.0,0.0
1969,Refugees,2433657.0,2433657.0,0.0
1969,Returned IDPs,,0.0,0.0
1969,Returned refugees,31690.0,31690.0,0.0
1969,Stateless persons,,0.0,0.0
1970,Asylum-seekers,,0.0,0.0
1970,IDPs,,0.0,0.0
1970,Others of concern,,0.0,0.0
1970,Refugees,2443730.0,2443730.0,0.0
1970,Returned IDPs,,0.0,0.0
1970,Returned refugees,13740.0,13740.0,0.0
1970,Stateless persons,,0.0,0.0
1971,Asylum-seekers,,0.0,0.0
1971,IDPs,,0.0,0.0
1971,Others of concern,,0.0,0.0
1971,Refugees,2451710.0,2451710.0,0.0
1971,Returned IDPs,,0.0,0.0
1971,Returned refugees,23820.0,23820.0,0.0
1971,Stateless persons,,0.0,0.0
1972,Asylum-seekers,,0.0,0.0
1972,IDPs,,0.0,0.0
1972,Others of concern,,0.0,0.0
1972,Refugees,2527130.0,2527130.0,0.0
1972,Returned IDPs,,0.0,0.0
1972,Returned refugees,114160.0,114160.0,0.0
1972,Stateless persons,,0.0,0.0
1973,Asylum-seekers,,0.0,0.0
1973,IDPs,,0.0,0.0
1973,Others of concern,,0.0,0.0
1973,Refugees,2322585.0,2322585.0,0.0
1973,Returned IDPs,,0.0,0.0
1973,Returned refugees,120840.0,120840.0,0.0
1973,Stateless persons,,0.0,0.0
1974,Asylum-seekers,,0.0,0.0
1974,IDPs,,0.0,0.0
1974,Others of concern,,0.0,0.0
1974,Refugees,2360973.0,2360973.0,0.0
1974,Returned IDPs,,0.0,0.0
1974,Returned refugees,123140.0,123140.0,0.0
1974,Stateless persons,,0.0,0.0
1975,Asylum-seekers,,0.0,0.0
1975,IDPs,,0.0,0.0
1975,Others of concern,,0.0,0.0
1975,Refugees,2775314.0,2775314.0,0.0
1975,Returned IDPs,,0.0,0.0
1975,Returned refugees,88960.0,88960.0,0.0
1975,Stateless persons,,0.0,0.0
1976,Asylum-seekers,,0.0,0.0
1976,IDPs,,0.0,0.0
1976,Others of concern,,0.0,0.0
1976,Refugees,3667331.0,3667331.0,0.0
1976,Returned IDPs,,0.0,0.0
1976,Returned refugees,13190.0,13190.0,0.0
1976,Stateless persons,,0.0,0.0
1977,Asylum-seekers,,0.0,0.0
1977,IDPs,,0.0,0.0
1977,Others of concern,,0.0,0.0
1977,Refugees,4395459.0,4395459.0,0.0
1977,Returned IDPs,,0.0,0.0
1977,Returned refugees,1620.0,1620.0,0.0
1977,Stateless persons,,0.0,0.0
1978,Asylum-seekers,,0.0,0.0
1978,IDPs,,0.0,0.0
1978,Others of concern,,0.0,0.0
