year,population_type_std,value_observed,source_rows,observed_rows,redacted_rows,blank_rows,zero_rows,yoy_absolute_change,yoy_pct_change
2000,Asylum-seekers,947926.0,2204,2204,0,0,0,,
2001,Asylum-seekers,943980.0,2426,2426,0,0,0,-3946.0,-0.004162772199517661
2002,Asylum-seekers,1093824.0,2624,2624,0,0,0,149844.0,0.15873641390707438
2003,Asylum-seekers,996488.0,3071,3071,0,0,0,-97336.0,-0.08898689368673574
2004,Asylum-seekers,885249.0,3036,3036,0,0,0,-111239.0,-0.11163104824142389
2005,Asylum-seekers,802174.0,3116,3116,0,0,0,-83075.0,-0.0938436530286959
2006,Asylum-seekers,741291.0,3460,3460,0,0,0,-60883.0,-0.07589749854769667
2007,Asylum-seekers,741110.0,5220,5220,0,0,1745,-181.0,-0.0002441686193410675
2008,Asylum-seekers,825043.0,5314,5314,0,0,1816,83933.0,0.11325309333297362
2009,Asylum-seekers,989169.0,5369,5369,0,0,1824,164126.0,0.198930237575496
2010,Asylum-seekers,837445.0,5601,5601,0,0,1555,-151724.0,-0.15338531636151154
2011,Asylum-seekers,897021.0,5840,5840,0,0,1816,59576.0,0.0711401942814156
2012,Asylum-seekers,942797.0,6038,6038,0,0,1743,45776.0,0.05103113527999903
2013,Asylum-seekers,1164450.0,6147,6146,0,0,1404,221653.0,0.23510151177825134
2014,Asylum-seekers,1804465.0,7679,7679,0,0,2658,640015.0,0.5496285800163168
2015,Asylum-seekers,3224966.0,6918,6918,0,0,1704,1420501.0,0.7872144929383502
2016,Asylum-seekers,2716578.0,6822,4797,2025,0,1730,-508388.0,-0.15764135187781825
1993,IDPs,4198400.0,11,11,0,0,0,,
1994,IDPs,5322990.0,19,19,0,0,0,1124590.0,0.2678615663109756
1995,IDPs,4286690.0,16,16,0,0,0,-1036300.0,-0.19468381492356734
1996,IDPs,4853712.0,18,18,0,0,0,567022.0,0.132275018720738
1997,IDPs,4573112.0,18,18,0,0,0,-280600.0,-0.05781142350432
1998,IDPs,5063880.0,16,16,0,0,0,490768.0,0.10731598089003724
1999,IDPs,3968648.0,13,13,0,0,0,-1095232.0,-0.216283166267763
2000,IDPs,5998501.0,17,17,0,0,0,2029853.0,0.511472168859521
2001,IDPs,5096502.0,15,15,0,0,0,-901999.0,-0.15037073428844971
2002,IDPs,4646641.0,16,16,0,0,0,-449861.0,-0.0882685810777667
2003,IDPs,4181701.0,12,12,0,0,0,-464940.0,-0.10005937622467498
2004,IDPs,5426539.0,13,13,0,0,0,1244838.0,0.2976869938811981
2005,IDPs,6616791.0,16,16,0,0,0,1190252.0,0.2193390667606001
2006,IDPs,12794268.0,24,24,0,0,0,6177477.0,0.9336061846293771
2007,IDPs,13740317.0,23,23,0,0,0,946049.0,0.07394319081013467
2008,IDPs,14442227.0,23,23,0,0,0,701910.0,0.051083974263475884
2009,IDPs,15628057.0,22,22,0,0,0,1185830.0,0.08210852799917912
2010,IDPs,14697804.0,24,24,0,0,0,-930253.0,-0.059524546141596524
2011,IDPs,15473378.0,26,26,0,0,0,775574.0,0.05276801895031391
2012,IDPs,17670368.0,26,26,0,0,0,2196990.0,0.14198515669946143
