year,applications_observed,recognized_observed,rejected_observed,other_decisions_observed,otherwise_closed_observed,total_decisions_final,decision_total_mismatch_rows,source_rows,recognition_rate_observed
2000,1093045.0,203402.0,543635.0,93522.0,249787.0,1090346.0,0,5153,0.18654812325628745
2001,918156.0,167763.0,444842.0,78403.0,245252.0,936260.0,0,5542,0.17918420096981608
2002,948536.0,161879.0,524143.0,62154.0,262013.0,1010189.0,0,5862,0.16024625094907982
2003,840236.0,146551.0,522069.0,49228.0,285591.0,1003439.0,0,6359,0.14604873838868132
2004,681159.0,128187.0,445171.0,47148.0,266984.0,887490.0,0,6601,0.14443768380488795
2005,674005.0,153167.0,362624.0,51265.0,263413.0,830469.0,0,6721,0.18443433770556156
2006,607461.0,141285.0,306672.0,50799.0,193252.0,692008.0,0,6656,0.20416671483566665
2007,643465.0,149455.0,260951.0,60223.0,174443.0,645072.0,0,6924,0.23168731552446858
2008,864942.0,156312.0,326562.0,63991.0,155366.0,702231.0,0,7042,0.22259342011389416
2009,935603.0,228970.0,320611.0,50576.0,161398.0,761555.0,0,7159,0.3006611472579131
2010,830964.0,175134.0,351673.0,47579.0,151046.0,725431.0,1,7905,0.24142061753633356
2011,864232.0,172566.0,360660.0,43945.0,189746.0,766917.0,0,8299,0.225012615446
2012,923155.0,210851.0,437898.0,51057.0,203247.0,903053.0,0,8644,0.23348684960904842
2013,1061074.0,213722.0,376176.0,72829.0,217031.0,879758.0,0,9259,0.24293271558769572
2014,1616565.0,277569.0,428420.0,337113.0,335527.0,1378629.0,0,9908,0.20133698043491033
2015,3041199.0,438725.0,482024.0,232086.0,1039394.0,2192229.0,0,11225,0.20012735895748118
2016,2080600.0,557208.0,589159.0,328000.0,909062.0,2389897.0,1781,10461,0.2331514705445465
