year,population_type_std,value_observed
1968,Refugees,1200.0
1969,Refugees,1200.0
1979,Refugees,500.0
1980,Refugees,502.0
1981,Refugees,504.0
1982,Refugees,504.0
1983,Refugees,526.0
1984,Refugees,529.0
1985,Refugees,2599.0
1986,Refugees,534.0
1987,Refugees,20.0
1988,Refugees,881.0
1989,Refugees,397.0
1990,Refugees,2148.0
1991,Refugees,3037.0
1992,Refugees,4408.0
1993,Refugees,5404.0
1994,Refugees,7087.0
1995,Refugees,7994.0
1996,Refugees,8609.0
1997,Refugees,8653.0
1998,Others of concern,1.0
1998,Refugees,8126.0
1999,Refugees,6695.0
2000,Asylum-seekers,3732.0
2000,Refugees,5871.0
2001,Asylum-seekers,3864.0
2001,Refugees,4869.0
2002,Asylum-seekers,4275.0
2002,Refugees,18913.0
2003,Asylum-seekers,3552.0
2003,Refugees,20819.0
2004,Asylum-seekers,3794.0
2004,Refugees,21434.0
2005,Asylum-seekers,7004.0
2005,Refugees,16401.0
2006,Asylum-seekers,7513.0
2006,Refugees,12338.0
2007,Asylum-seekers,6868.0
2007,Refugees,13690.0
2008,Asylum-seekers,5989.0
2008,Refugees,15211.0
2009,Asylum-seekers,5570.0
2009,Refugees,17914.0
2010,Asylum-seekers,9764.0
2010,Refugees,18452.0
2011,Asylum-seekers,14456.0
2011,Others of concern,14110.0
2011,Refugees,19931.0
2012,Asylum-seekers,26023.0
2012,Others of concern,6900.0
2012,Refugees,729022.0
2013,Asylum-seekers,41037.0
2013,Others of concern,9400.0
2013,Refugees,2468332.0
2014,Asylum-seekers,84542.0
2014,Others of concern,1993.0
2014,Refugees,3887491.0
2015,Asylum-seekers,245857.0
2015,Others of concern,8247.0
2015,Refugees,4873243.0
2016,Asylum-seekers,184168.0
2016,Others of concern,8516.0
2016,Refugees,5524333.0
