year,country,iso3,host_stock_observed,source_rows,population_total,host_stock_per_100k_population,gdp_per_capita,income_group,wdi_status
2016,Afghanistan,AFG,174116.0,6,,,,,missing_wdi_denominator
2016,Albania,ALB,2861.0,6,,,,,missing_wdi_denominator
2016,Algeria,DZA,99914.0,24,,,,,missing_wdi_denominator
2016,Angola,AGO,45668.0,34,,,,,missing_wdi_denominator
2016,Argentina,ARG,6760.0,79,,,,,missing_wdi_denominator
2016,Armenia,ARM,17941.0,13,,,,,missing_wdi_denominator
2016,Australia,AUS,68480.0,180,,,,,missing_wdi_denominator
2016,Austria,AUT,163773.0,149,,,,,missing_wdi_denominator
2016,Azerbaijan,AZE,1404.0,15,,,,,missing_wdi_denominator
2016,Bahamas,BHS,21.0,2,,,,,missing_wdi_denominator
2016,Bahrain,BHR,371.0,5,,,,,missing_wdi_denominator
2016,Bangladesh,BGD,276198.0,1,,,,,missing_wdi_denominator
2016,Belarus,BLR,1841.0,16,,,,,missing_wdi_denominator
2016,Belgium,BEL,54358.0,160,,,,,missing_wdi_denominator
2016,Belize,BLZ,2427.0,5,,,,,missing_wdi_denominator
2016,Benin,BEN,1018.0,10,,,,,missing_wdi_denominator
2016,Bolivia,BOL,761.0,7,,,,,missing_wdi_denominator
2016,Bosnia and Herzegovina,BIH,57734.0,9,,,,,missing_wdi_denominator
2016,Botswana,BWA,2813.0,20,,,,,missing_wdi_denominator
2016,Brazil,BRA,67907.0,140,,,,,missing_wdi_denominator
2016,Bulgaria,BGR,32761.0,44,,,,,missing_wdi_denominator
2016,Burkina Faso,BFA,32662.0,13,,,,,missing_wdi_denominator
2016,Burundi,BDI,61714.0,11,,,,,missing_wdi_denominator
2016,Cambodia,KHM,226.0,6,,,,,missing_wdi_denominator
2016,Cameroon,CMR,378642.0,29,,,,,missing_wdi_denominator
2016,Canada,CAN,120873.0,293,,,,,missing_wdi_denominator
2016,Cayman Islands,CYM,37.0,2,,,,,missing_wdi_denominator
2016,Central African Republic,CAF,12397.0,16,,,,,missing_wdi_denominator
2016,Chad,TCD,429851.0,20,,,,,missing_wdi_denominator
2016,Chile,CHL,4464.0,29,,,,,missing_wdi_denominator
2016,China,CHN,317885.0,31,,,,,missing_wdi_denominator
2016,Colombia,COL,584.0,17,,,,,missing_wdi_denominator
2016,Costa Rica,CRI,7530.0,41,,,,,missing_wdi_denominator
2016,Croatia,HRV,15297.0,26,,,,,missing_wdi_denominator
2016,Cuba,CUB,330.0,11,,,,,missing_wdi_denominator
2016,Curaçao,CUW,104.0,6,,,,,missing_wdi_denominator
2016,Cyprus,CYP,17415.0,66,,,,,missing_wdi_denominator
2016,Czechia,CZE,3996.0,66,,,,,missing_wdi_denominator
2016,Côte d'Ivoire,CIV,1746.0,23,,,,,missing_wdi_denominator
2016,Democratic Republic of the Congo,COD,453256.0,25,,,,,missing_wdi_denominator
2016,Denmark,DNK,36349.0,75,,,,,missing_wdi_denominator
2016,Djibouti,DJI,25843.0,13,,,,,missing_wdi_denominator
2016,Dominican Republic,DOM,1365.0,8,,,,,missing_wdi_denominator
2016,Ecuador,ECU,101161.0,1,,,,,missing_wdi_denominator
2016,Egypt,EGY,263320.0,59,,,,,missing_wdi_denominator
2016,El Salvador,SLV,9836.0,6,,,,,missing_wdi_denominator
2016,Eritrea,ERI,2366.0,6,,,,,missing_wdi_denominator
2016,Estonia,EST,315.0,14,,,,,missing_wdi_denominator
2016,Eswatini,SWZ,1082.0,13,,,,,missing_wdi_denominator
2016,Ethiopia,ETH,794094.0,28,,,,,missing_wdi_denominator
2016,Fiji,FJI,7.0,1,,,,,missing_wdi_denominator
2016,Finland,FIN,23259.0,91,,,,,missing_wdi_denominator
2016,France,FRA,287657.0,198,,,,,missing_wdi_denominator
2016,Gabon,GAB,2792.0,18,,,,,missing_wdi_denominator
2016,Gambia,GMB,7936.0,8,,,,,missing_wdi_denominator
2016,Georgia,GEO,2392.0,23,,,,,missing_wdi_denominator
2016,Germany,DEU,1207420.0,245,,,,,missing_wdi_denominator
