kpi,value,year,source
Asylum-seekers,2716578.0,2016,time_series_clean
IDPs,36627127.0,2016,time_series_clean
Others of concern,803009.0,2016,time_series_clean
Refugees,17183525.0,2016,time_series_clean
Returned IDPs,6511144.0,2016,time_series_clean
Returned refugees,552134.0,2016,time_series_clean
Stateless persons,3242196.0,2016,time_series_clean
Active forced-displacement scope,57330239.0,2016,time_series_clean
Cross-border dashboard scope,20703112.0,2016,time_series_clean
Origin countries/entities,209.0,2016,time_series_clean
Host countries/entities,183.0,2016,time_series_clean
Asylum applications during year,2080600.0,2016,asylum_seekers_clean
