year,month_num,month,applications_observed,source_rows
1999,1,January,35287.0,1103
1999,2,February,31123.0,1091
1999,3,March,35881.0,1138
1999,4,April,34423.0,1128
1999,5,May,38233.0,1140
1999,6,June,47922.0,1130
1999,7,July,44353.0,1184
1999,8,August,43693.0,1185
1999,9,September,43748.0,1200
1999,10,October,39401.0,1165
1999,11,November,40937.0,1202
1999,12,December,42815.0,1197
2000,1,January,40815.0,1220
2000,2,February,39522.0,1224
2000,3,March,42547.0,1292
2000,4,April,35931.0,1188
2000,5,May,42111.0,1249
2000,6,June,41815.0,1246
2000,7,July,42648.0,1277
2000,8,August,49581.0,1302
2000,9,September,48230.0,1322
2000,10,October,52047.0,1355
2000,11,November,53149.0,1366
2000,12,December,46642.0,1298
2001,1,January,48369.0,1441
2001,2,February,42269.0,1369
2001,3,March,48089.0,1435
2001,4,April,43600.0,1399
2001,5,May,47141.0,1474
2001,6,June,47263.0,1449
2001,7,July,51056.0,1457
2001,8,August,53906.0,1490
2001,9,September,52409.0,1429
2001,10,October,54550.0,1503
2001,11,November,50085.0,1445
2001,12,December,45872.0,1413
2002,1,January,50791.0,1516
2002,2,February,42875.0,1443
2002,3,March,45326.0,1478
2002,4,April,45828.0,1487
2002,5,May,46732.0,1506
2002,6,June,44675.0,1447
2002,7,July,49093.0,1529
2002,8,August,47888.0,1515
2002,9,September,49534.0,1527
2002,10,October,53887.0,1559
2002,11,November,45060.0,1524
2002,12,December,43636.0,1500
2003,1,January,46334.0,1536
2003,2,February,37582.0,1481
2003,3,March,39618.0,1517
2003,4,April,38169.0,1498
2003,5,May,34866.0,1494
2003,6,June,36300.0,1517
2003,7,July,39736.0,1533
2003,8,August,38234.0,1506
2003,9,September,42989.0,1597
2003,10,October,42767.0,1577
2003,11,November,36432.0,1516
2003,12,December,37706.0,1542
2004,1,January,31126.0,1475
2004,2,February,30081.0,1508
2004,3,March,35058.0,1571
2004,4,April,32303.0,1537
2004,5,May,26420.0,1437
2004,6,June,30140.0,1455
2004,7,July,30342.0,1479
2004,8,August,29582.0,1499
2004,9,September,31401.0,1467
2004,10,October,30093.0,1485
2004,11,November,29126.0,1458
2004,12,December,32968.0,1471
2005,1,January,26213.0,1475
2005,2,February,24356.0,1436
2005,3,March,27715.0,1504
2005,4,April,24819.0,1486
2005,5,May,23982.0,1488
2005,6,June,25779.0,1488
2005,7,July,23568.0,1452
2005,8,August,26195.0,1474
2005,9,September,27672.0,1488
2005,10,October,26540.0,1447
2005,11,November,26577.0,1459
2005,12,December,25573.0,1437
2006,1,January,24156.0,1480
2006,2,February,21601.0,1403
2006,3,March,24231.0,1469
2006,4,April,19973.0,1370
2006,5,May,21680.0,1442
2006,6,June,20773.0,1418
2006,7,July,21173.0,1426
2006,8,August,23690.0,1453
2006,9,September,23956.0,1433
2006,10,October,26680.0,1438
2006,11,November,27061.0,1469
2006,12,December,23763.0,1410
2007,1,January,25537.0,1442
2007,2,February,23945.0,1382
2007,3,March,25895.0,1424
2007,4,April,23879.0,1390
2007,5,May,23968.0,1406
2007,6,June,23105.0,1404
2007,7,July,23584.0,1399
2007,8,August,25400.0,1415
2007,9,September,25768.0,1359
2007,10,October,30028.0,1510
2007,11,November,28124.0,1445
2007,12,December,26538.0,1333
2008,1,January,29032.0,1451
2008,2,February,27330.0,1513
2008,3,March,25341.0,1496
2008,4,April,27192.0,1508
2008,5,May,26905.0,1502
2008,6,June,27676.0,1503
2008,7,July,31787.0,1567
2008,8,August,31296.0,1531
2008,9,September,35574.0,1519
2008,10,October,36640.0,1541
2008,11,November,32380.0,1482
2008,12,December,32659.0,1489
2009,1,January,31372.0,1522
2009,2,February,29733.0,1520
2009,3,March,31867.0,1601
2009,4,April,30196.0,1540
2009,5,May,29200.0,1548
2009,6,June,30711.0,1534
2009,7,July,31985.0,1580
2009,8,August,29144.0,1542
2009,9,September,31359.0,1595
2009,10,October,32707.0,1564
2009,11,November,31558.0,1550
2009,12,December,28888.0,1530
2010,1,January,26144.0,1557
2010,2,February,27405.0,1530
2010,3,March,30611.0,1570
2010,4,April,25543.0,1524
2010,5,May,25089.0,1570
2010,6,June,28627.0,1560
2010,7,July,27632.0,1571
2010,8,August,31271.0,1584
2010,9,September,33586.0,1603
2010,10,October,35095.0,1607
2010,11,November,33072.0,1614
2010,12,December,30582.0,1572
2011,1,January,29805.0,1542
2011,2,February,30426.0,1580
2011,3,March,35701.0,1617
2011,4,April,31944.0,1571
2011,5,May,38790.0,1610
2011,6,June,36821.0,1611
2011,7,July,35142.0,1593
2011,8,August,37847.0,1625
2011,9,September,39488.0,1680
2011,10,October,39296.0,1626
2011,11,November,38214.0,1628
