node,node_type,degree,in_strength,out_strength,betweenness
Host: Turkey,host,7,2867571.0,0.0,0.0
Host: Iran,host,2,979410.0,0.0,0.0
Host: Ethiopia,host,7,791568.0,0.0,0.0
Host: Jordan,host,5,683810.0,0.0,0.0
Host: Democratic Republic of the Congo,host,5,451221.0,0.0,0.0
Host: Germany,host,50,368908.0,0.0,0.0
Host: Chad,host,4,350005.0,0.0,0.0
Host: Sudan,host,8,324332.0,0.0,0.0
Host: China,host,1,317098.0,0.0,0.0
Host: Bangladesh,host,1,276198.0,0.0,0.0
Host: Yemen,host,5,269030.0,0.0,0.0
Host: South Sudan,host,5,263408.0,0.0,0.0
Host: Iraq,host,6,251693.0,0.0,0.0
Host: Uganda,host,9,218522.0,0.0,0.0
Host: Egypt,host,10,215737.0,0.0,0.0
Host: United States,host,68,206809.0,0.0,0.0
Host: India,host,4,181192.0,0.0,0.0
Host: Niger,host,3,180333.0,0.0,0.0
Host: Afghanistan,host,2,173958.0,0.0,0.0
Host: Tanzania,host,2,168769.0,0.0,0.0
Host: Rwanda,host,2,156033.0,0.0,0.0
Host: Malaysia,host,9,134459.0,0.0,0.0
Host: France,host,45,103447.0,0.0,0.0
Host: Ecuador,host,1,101161.0,0.0,0.0
Host: Algeria,host,3,99344.0,0.0,0.0
Host: Italy,host,31,95065.0,0.0,0.0
Host: Cameroon,host,4,93515.0,0.0,0.0
Host: Mauritania,host,2,72645.0,0.0,0.0
Host: Sweden,host,20,59257.0,0.0,0.0
Host: Bosnia and Herzegovina,host,2,57601.0,0.0,0.0
Host: Austria,host,14,55029.0,0.0,0.0
Host: Canada,host,38,53185.0,0.0,0.0
Host: United Kingdom,host,25,47737.0,0.0,0.0
Host: South Africa,host,18,47216.0,0.0,0.0
Host: Angola,host,10,41471.0,0.0,0.0
Host: Switzerland,host,17,40167.0,0.0,0.0
Host: Norway,host,10,35150.0,0.0,0.0
Host: Serbia and Kosovo (historical UN label),host,5,34976.0,0.0,0.0
Host: Israel,host,2,32459.0,0.0,0.0
Host: Burkina Faso,host,1,32017.0,0.0,0.0
Host: Kenya,host,9,31877.0,0.0,0.0
Host: Brazil,host,14,29729.0,0.0,0.0
Host: Libya,host,6,29444.0,0.0,0.0
Host: Denmark,host,7,28463.0,0.0,0.0
Host: Netherlands,host,13,27923.0,0.0,0.0
Host: Zambia,host,5,26671.0,0.0,0.0
Host: Greece,host,8,26024.0,0.0,0.0
Host: Australia,host,13,25904.0,0.0,0.0
Host: Djibouti,host,4,24790.0,0.0,0.0
Host: Liberia,host,2,20031.0,0.0,0.0
Host: Belgium,host,12,19229.0,0.0,0.0
Host: Armenia,host,3,17689.0,0.0,0.0
Host: Mali,host,3,17207.0,0.0,0.0
Host: Japan,host,10,16028.0,0.0,0.0
Host: Spain,host,7,14550.0,0.0,0.0
Host: Croatia,host,1,14518.0,0.0,0.0
Host: Senegal,host,1,13683.0,0.0,0.0
Host: Syrian Arab Republic,host,3,12910.0,0.0,0.0
Host: Malawi,host,4,12825.0,0.0,0.0
Host: Bulgaria,host,4,12440.0,0.0,0.0
Host: Nepal,host,2,11798.0,0.0,0.0
Host: Togo,host,2,11777.0,0.0,0.0
Host: Central African Republic,host,3,11734.0,0.0,0.0
Host: Somalia,host,2,11357.0,0.0,0.0
Host: Lebanon,host,4,11220.0,0.0,0.0
Host: Ghana,host,3,11110.0,0.0,0.0
Host: Finland,host,6,10318.0,0.0,0.0
Host: El Salvador,host,1,9800.0,0.0,0.0
Host: Papua New Guinea,host,1,9368.0,0.0,0.0
Host: Guinea-Bissau,host,1,8374.0,0.0,0.0
Host: Gambia,host,1,7470.0,0.0,0.0
Host: Malta,host,4,6334.0,0.0,0.0
Host: Mozambique,host,4,6324.0,0.0,0.0
Host: Indonesia,host,4,5285.0,0.0,0.0
