rank,origin_country_std,origin_iso3,origin_mapping_status,origin_map_eligible_flag,value_observed,source_rows,observed_rows,share_of_selected_total,year,population_scope,metric_type
1,Syrian Arab Republic,SYR,manual_iso,True,5717017.0,393,350,0.28271079533178956,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
2,Afghanistan,AFG,pycountry_exact_or_alias,True,2984568.0,312,282,0.14758913485858247,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
3,South Sudan,SSD,pycountry_exact_or_alias,True,1442327.0,165,121,0.07132415616369762,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
4,Somalia,SOM,pycountry_exact_or_alias,True,1072974.0,357,310,0.053059372205877926,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
5,Sudan,SDN,pycountry_exact_or_alias,True,697552.0,336,284,0.034494471628347526,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
6,Democratic Republic of the Congo,COD,manual_iso,True,629419.0,321,277,0.03112524347696354,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
7,Iraq,IRQ,pycountry_exact_or_alias,True,610063.0,336,302,0.030168074702681055,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
8,Burundi,BDI,pycountry_exact_or_alias,True,596466.0,246,199,0.02949569281469186,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
9,Myanmar,MMR,pycountry_exact_or_alias,True,546466.0,153,126,0.027023155166720988,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
10,Eritrea,ERI,pycountry_exact_or_alias,True,523670.0,315,262,0.02589587580225811,2016,Refugees+Asylum-seekers+Others of concern,population_stock_observed
