year,resettlement_observed,source_rows
1959,3047.0,26
1960,2329.0,16
1961,1813.0,18
1962,1733.0,21
1963,2024.0,20
1964,2279.0,21
1965,2131.0,18
1966,2058.0,17
1967,1499.0,16
1968,9980.0,10
1969,3599.0,8
1970,1366.0,9
1971,751.0,10
1972,5261.0,16
1973,2424.0,16
1974,1660.0,16
1975,6291.0,19
1976,10629.0,24
1977,11765.0,21
1978,12939.0,26
1979,46561.0,20
1980,69871.0,38
1981,42107.0,41
1982,138067.0,67
1983,99392.0,60
1984,104463.0,71
1985,101958.0,71
1986,96582.0,78
1987,100124.0,80
1988,117983.0,75
1989,159445.0,69
1990,176635.0,187
1991,153855.0,211
1992,166624.0,238
1993,150079.0,233
1994,151606.0,243
1995,134051.0,225
1996,102897.0,220
1997,92657.0,231
1998,103242.0,274
1999,108646.0,294
2000,98787.0,242
2001,92124.0,281
2002,50079.0,249
2003,55604.0,321
2004,84726.0,294
2005,80797.0,349
2006,71703.0,346
2007,75300.0,311
2008,88800.0,332
2009,112472.0,331
2010,98761.0,367
2011,79784.0,342
2012,89007.0,380
2013,98426.0,351
2014,105197.0,379
2015,107051.0,348
2016,188968.0,478
