year,origin_country_std,origin_iso3,host_country_std,host_iso3,applications_observed,recognized_observed,rejected_observed,other_decisions_observed,otherwise_closed_observed,total_decisions_final,source_rows,metric_type
2016,Syrian Arab Republic,SYR,Germany,DEU,268866.0,172319.0,1010.0,122771.0,8812.0,304912.0,3,asylum_application_flow_observed
2016,Afghanistan,AFG,Germany,DEU,127892.0,14081.0,25519.0,24871.0,7630.0,72101.0,3,asylum_application_flow_observed
2016,Iraq,IRQ,Germany,DEU,97162.0,36826.0,14661.0,11375.0,7605.0,70467.0,3,asylum_application_flow_observed
2016,Afghanistan,AFG,Turkey,TUR,34795.0,1296.0,7.0,0.0,8955.0,10259.0,3,asylum_application_flow_observed
2016,El Salvador,SLV,United States,USA,33620.0,2691.0,2654.0,0.0,8899.0,14244.0,2,asylum_application_flow_observed
2016,Iraq,IRQ,Turkey,TUR,28874.0,12621.0,42.0,0.0,10986.0,23651.0,3,asylum_application_flow_observed
2016,Mexico,MEX,United States,USA,27879.0,989.0,2796.0,0.0,11877.0,15662.0,2,asylum_application_flow_observed
2016,Syrian Arab Republic,SYR,Greece,GRC,27840.0,1859.0,20.0,0.0,608.0,2494.0,3,asylum_application_flow_observed
2016,Nigeria,NGA,Italy,ITA,27088.0,516.0,13795.0,4077.0,0.0,18388.0,1,asylum_application_flow_observed
2016,Iran,IRN,Germany,DEU,26872.0,5715.0,3992.0,421.0,2395.0,12523.0,3,asylum_application_flow_observed
2016,Guatemala,GTM,United States,USA,25723.0,2325.0,1672.0,0.0,7319.0,11316.0,2,asylum_application_flow_observed
2016,Ukraine,UKR,Russia,RUS,23534.0,33.0,0.0,21095.0,1320.0,22448.0,2,asylum_application_flow_observed
2016,China,CHN,United States,USA,19868.0,4171.0,579.0,0.0,6334.0,11084.0,2,asylum_application_flow_observed
2016,Honduras,HND,United States,USA,19470.0,1699.0,2109.0,0.0,5155.0,8964.0,2,asylum_application_flow_observed
2016,Eritrea,ERI,Germany,DEU,19103.0,16739.0,207.0,3782.0,2087.0,22815.0,3,asylum_application_flow_observed
2016,Venezuela,VEN,United States,USA,18312.0,211.0,55.0,0.0,298.0,564.0,2,asylum_application_flow_observed
2016,Democratic Republic of the Congo,COD,Uganda,UGA,17857.0,11850.0,1379.0,0.0,433.0,13662.0,1,asylum_application_flow_observed
2016,Albania,ALB,Germany,DEU,17236.0,18.0,35370.0,277.0,14511.0,50176.0,3,asylum_application_flow_observed
