host_country_std,host_iso3,resettlement_observed,source_rows
United States,USA,2641084.0,1665
Canada,CAN,693400.0,2554
Australia,AUS,493433.0,1301
Sweden,SWE,59584.0,736
Norway,NOR,41360.0,515
United Kingdom,GBR,35084.0,95
New Zealand,NZL,26961.0,498
Denmark,DNK,25712.0,503
Netherlands,NLD,21441.0,429
Finland,FIN,19885.0,239
Germany,DEU,5197.0,36
Ireland,IRL,3662.0,91
Japan,JPN,2646.0,21
France,FRA,2236.0,92
Switzerland,CHE,1409.0,13
Belgium,BEL,1406.0,26
Austria,AUT,1346.0,6
Brazil,BRA,677.0,37
Italy,ITA,635.0,6
Iceland,ISL,477.0,20
