column_pattern,type,definition
year,integer,Reporting year.
host_country_raw,string,Original country/territory of asylum or residence.
host_country_std,string,Standardised host/asylum country label used by charts.
host_iso3,string,ISO3-style host code; custom X_* codes indicate special/non-map entities.
host_mapping_status,string,"Country-mapping method/status: manual_iso, pycountry, special_entity, historical/composite, etc."
host_map_eligible_flag,boolean,Whether the host entity can be safely plotted on country maps.
origin_country_raw,string,Original origin-country label.
origin_country_std,string,Standardised origin-country label used by charts.
origin_iso3,string,ISO3-style origin code; custom X_* codes indicate special/non-map entities.
origin_mapping_status,string,Country-mapping method/status for origin labels.
origin_map_eligible_flag,boolean,Whether the origin entity can be safely plotted on country maps.
value_observed,float,Cleaned observed population stock for time_series/persons_of_concern long data.
applications_observed,float,Cleaned observed asylum applications during year.
applications_monthly_observed,float,Cleaned observed monthly asylum applications.
resettlement_observed,float,Cleaned observed resettlement flow.
*_is_blank,boolean,"Original cell was blank and is treated as missing, not zero."
*_is_redacted,boolean,"Original cell was '*' and is treated as missing/redacted, not zero."
*_is_zero,boolean,Original numeric value is a valid reported zero.
*_is_negative_raw,boolean,Original numeric value was negative and was set to missing as an impossible count.
population_type_std,string,"Standardised population category: Refugees, Asylum-seekers, IDPs, Stateless persons, etc."
metric_family,string,"Analytical family: population stock, application flow, monthly flow, durable solution flow, demographic stock."
